cues,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67
passion,préférer,goût,monde,joie,monde,bonheur,rêve,amitié,joie,monde,amateur,désir,vivre,âme,aimer,sentiment,heureux,amoureux,amoureux,émotion,désir,joie,amitié,vivre,goût,découvrir,goût,âme,amateur,talent,heureux,rêve,sentiment,envie,joie,heureux,âme,amour,vivre,heureux,heureux,heureux,bonheur,amitié,découvrir,heureux,vivre,esprit,heureux,rêve,heureux,amitié,préférer,aimer,préférer,découvrir,amour,talent,talent,rêve,amateur,talent,joie,préférer,envie,amour,goût
passion,penser,chose,douter,vrai,rien,amoureux,finir,contenter,pensée,chose,chanteur,sorte,voire,peur,rien,avouer,réalité,juste,rêve,âme,aller,longtemps,courage,heureux,souffrance,ambiance,évidemment,avouer,évidemment,plaire,aller,longtemps,manquer,aller,rire,dire,dire,amitié,juste,tomber,chose,vivre,adorer,absolument,découvrir,oser,venir,sentir,passer,parler,sentir,bonheur,oublier,bon,préférer,falloir,triste,talent,talent,sentiment,coeur,devenir,vrai,dire,quelqu'un,homme,coeur
désir,sentiment,esprit,volonté,volonté,amoureux,plaisir,envie,bonheur,sentir,vivre,désirer,esprit,joie,amoureux,réalité,pensée,ressentir,spirituel,pensée,conscience,lui-même,âme,souffrance,passion,rêve,conscience,envie,conscience,réalité,amoureux,ressentir,souffrance,rêve,passion,spirituel,ressentir,joie,désirer,sentir,individu,volonté,sentir,volonté,volonté,joie,amoureux,plaisir,amour,sentiment,esprit,émotion,pensée,sens,pensée,vivre,vivre,individu,conscience,amour,plaisir,réalité,spirituel,passion,plaisir,amour,pensée,vivre
désir,volonté,falloir,attitude,essayer,peur,parler,voilà,rêve,penser,croire,supposer,justement,malheureusement,dire,seulement,expliquer,longtemps,raison,moral,lui-même,juste,aimer,sembler,voilà,émotion,notion,surtout,rien,falloir,voilà,plaire,instant,juste,spirituel,fidèle,gens,sentir,possible,arriver,concret,âme,profond,assumer,pleinement,sensation,effectivement,longtemps,essayer,essayer,ignorer,finalement,réalité,propre,quelqu'un,conscience,sembler,même,raison,heureux,envie,réalité,différent,amoureux,parler,plaisir,être,arriver
larme,sang,tomber,souffrance,espoir,coeur,espoir,souffrir,espoir,souffrir,bonheur,émotion,peur,joie,bras,silence,âme,peur,tomber,âme,émotion,regarder,chanter,espoir,visage,chanter,silence,aimer,sang,tomber,sang,émotion,amour,regarder,souffrance,visage,espoir,bras,visage,tomber,coeur,aimer,regarder,tomber,coeur,visage,joie,chanter,regarder,regarder,souffrance,peur,espoir,instant,coeur,souffrir,silence,mourir,triste,silence,regarder,mourir,rire,souffrance,bras,sentir,joie,souffrance
larme,douter,finir,vie,douter,finalement,souffle,heureusement,justement,souffrir,ressentir,émotion,penser,juste,finir,vouloir,oser,dire,tomber,croire,amoureux,heureux,juste,finalement,voir,entendre,jeter,dire,lui-même,ressembler,étrange,plaisir,talent,essayer,longtemps,âme,forcément,faire,imaginer,éloigner,falloir,gens,malheureusement,adorer,retrouver,parler,sourire,chanson,pareil,contenter,oser,vouloir,finir,rien,douter,souffrir,longtemps,raconter,vouloir,juste,vouloir,vouloir,parler,voilà,coeur,taire,faire,pire
vache,aliment,animal,quantité,oeuf,terre,production,petit,plein,boire,race,oeuf,production,production,aliment,nourrir,animal,rire,plein,boire,ressembler,ferme,agriculteur,plein,production,rire,ressembler,élevage,plein,oeuf,quantité,production,aliment,cheval,ressembler,oeuf,oeuf,terre,ressembler,animal,étonner,plein,production,boire,étonner,oeuf,manger,fabriquer,animal,manger,petit,lait,quantité,nourrir,plein,ferme,nourrir,terre,terre,animal,élevage,ferme,terre,terre,oeuf,agriculteur,boire,viande
vache,aliment,usage,développer,ressembler,pouvoir,filière,dire,rester,venir,nourrir,petit,implantation,production,mélanger,heureusement,espèce,regarder,finir,boire,finir,venir,rural,même,améliorer,surtout,essayer,servir,avoir,fruit,moyen,agricole,alimentaire,consommer,vrai,sucre,oeuf,attendre,oublier,essayer,rien,finir,production,juste,quelqu'un,soupe,surtout,transformer,âme,passer,pareil,pain,climat,penser,temps,aimer,consommer,avoir,tomber,chiens,justement,avoir,ombre,terre,pâte,consommateur,pauvre,alimentaire
début,terminer,être,premier,être,passer,mois,dater,siècle,passer,passer,avoir,être,siècle,durer,marquer,prochain,passer,pendant,mois,marquer,passer,seconde,seconde,durant,durer,achever,année,époque,être,durer,dernier,durer,jusqu'en,époque,époque,terminer,avoir,dernier,achever,époque,année,jusqu'en,dernier,mois,période,période,période,marquer,dater,fin,prochain,seconde,seconde,année,prochain,marquer,être,seconde,seconde,prochain,période,jusqu'en,achever,pendant,commencer,durer,premier
début,autre,juste,pareil,autre,croire,fois,cas,abord,finalement,rien,falloir,être,durer,finalement,envisager,période,effectivement,pouvoir,autre,vouloir,seul,attendre,pareil,arriver,prochain,évidemment,nécessaire,évoquer,vouloir,durer,finalement,faire,heure,réellement,ancien,décider,avoir,fois,achever,donner,seul,seconde,retrouver,terminer,deuxième,dernier,prolonger,nombreux,considérer,aller,prendre,finalement,faire,perdre,finalement,observer,autre,donner,heure,voilà,connaître,rester,passer,dernier,dire,décider,marquer
pierre,gilles,gérard,antoine,jacques,gérard,robert,françois,antoine,maurice,bruno,philippe,martin,ancien,paul,françois,gérard,françois,marie,claude,martin,paul,robert,françois,philippe,bruno,bernard,claude,georges,daniel,bernard,bruno,paul,georges,bruno,bruno,antoine,robert,antoine,philippe,françois,françois,claude,henri,robert,georges,henri,bruno,bernard,antoine,murs,gérard,paul,maurice,jacques,henri,murs,gilles,olivier,robert,gilles,gilles,daniel,fondation,gilles,bernard,françois,martin
pierre,thierry,bruno,jean-pierre,jean-pierre,marc,claude,gilles,frédéric,maurice,jean-paul,jean-pierre,président,maurice,charles,alain,anne,bruno,guy,paul,vincent,patrick,andré,vice-président,didier,eric,julien,claude,françois,patrick,paul,jean-pierre,catherine,christian,bruno,frédéric,patrick,déléguer,olivier,anne,eric,frédéric,daniel,rené,marc,georges,christian,adjoint,paul,olivier,avoir,gérard,paul,alain,bernard,administration,murs,gilles,bernard,marc,marc,françois,daniel,andré,gilles,alain,jean-pierre,frédéric
visage,instant,soin,étrange,corps,doigt,regarder,doigt,main,portrait,instant,soin,portrait,sourire,soin,instant,doigt,approcher,tête,instant,bouche,lumière,tête,lumière,beauté,bras,regarder,soin,sentir,regard,bras,beauté,portrait,yeux,soin,beauté,doux,bouche,geste,sombre,regard,étrange,bras,corps,main,tête,bras,lumière,sombre,main,geste,portrait,sombre,corps,regarder,tête,portrait,soin,lumière,tête,portrait,soin,âme,étrange,peau,cheveux,geste,corps
visage,sorte,médecin,finir,aimer,sentir,avoir,vouloir,apercevoir,portrait,pouvoir,tendre,célèbre,triste,considérer,avoir,vouloir,même,contenter,faire,évident,voilà,dos,voir,sensation,penser,voilà,malade,avoir,juste,approcher,parfait,paysage,vrai,équiper,esprit,surtout,arriver,trace,voilà,pouvoir,sembler,venir,lui-même,côté,sentir,approcher,juste,tomber,croire,bonheur,murs,couleur,âme,remarquer,croiser,scène,crème,apercevoir,vrai,penser,social,passion,arriver,vrai,entendre,venir,pareil
arbre,apercevoir,paysage,fleur,fleur,apercevoir,apercevoir,petit,ombre,automne,petit,feuille,ombre,ombre,bois,oiseau,petit,vert,fruit,branche,hauteur,végétal,paysage,paysage,apercevoir,végétal,fleur,vert,apercevoir,jardin,variété,espèce,variété,sol,pousser,vert,endroit,hauteur,essence,végétal,petit,feuille,fruit,apercevoir,hauteur,sol,vert,endroit,essence,variété,automne,petit,fruit,espèce,oiseau,bois,feuille,espèce,jardin,automne,oiseau,ombre,feuille,automne,endroit,sol,paysage,vert
arbre,apercevoir,milieu,beau,parc,étrange,rien,petit,sortir,soleil,dire,profondeur,pur,mystère,sympa,grand,dire,végétal,fruit,consister,centimètre,végétal,montagne,lac,sentir,bois,automne,joli,même,maison,génétique,caractéristique,exister,milieu,venir,vaste,faire,placer,ombre,importance,simplement,côté,chaud,surprendre,juste,mélange,vert,aménager,être,caractériser,forêt,avoir,morceau,poisson,aile,bois,sauvage,signifier,vert,produire,arriver,longtemps,falloir,sol,justement,naturel,extérieur,milieu
position,rapprocher,seul,prendre,faire,considérer,défendre,opposer,clairement,point,mouvement,attitude,montrer,inverse,faire,important,faire,prendre,montrer,prendre,affirmer,top,appuyer,faire,côté,appuyer,maintenir,montrer,considérer,important,force,seul,valeur,déplacer,opposer,faire,défendre,placer,côté,valeur,point,valeur,faire,force,affirmer,côté,clairement,droite,défendre,maintenir,montrer,placer,point,prendre,côté,rapprocher,opposer,placer,rapprocher,droite,rapprocher,déplacer,montrer,force,prendre,appuyer,appuyer,maintenir
position,tel,chose,forcément,côté,clairement,argument,dire,réellement,autre,mouvement,sembler,montrer,caractériser,obliger,possible,malheureusement,seul,point,croire,même,pouvoir,évident,dire,remarquer,système,sorte,pouvoir,tel,notamment,imposer,est-à-dire,passer,impossible,prétendre,croire,dénoncer,agir,finir,permettre,face,valeur,seul,évidemment,chose,rien,limiter,droite,débat,moyens,rester,empêcher,abord,passer,manière,falloir,abord,donner,faire,insister,demeurer,observer,avérer,penser,pouvoir,autre,contexte,exister
avis,recommandation,émettre,émettre,demande,transmettre,décision,rapport,recommandation,intéressant,soumettre,dossier,décision,favorable,demander,demander,dossier,préciser,article,examiner,transmettre,comité,utile,soumettre,motiver,émettre,formuler,concernant,proposition,décision,recommandation,examiner,concernant,comité,compétent,date,conseil,comité,utile,demande,date,dossier,compétent,dossier,intéressant,préciser,examiner,article,comité,article,formuler,émettre,consultation,rapport,transmettre,commission,préciser,transmettre,consultation,recommandation,consultation,émettre,examiner,utile,consultation,article,préciser,favorable
avis,mentionner,intervenir,cas,concerner,recueillir,élus,constat,détailler,seul,être,viser,concertation,pouvoir,devoir,essayer,dossier,envisager,dossier,permettre,concernant,modalité,donner,établir,motiver,exactement,devoir,concernant,intention,procédure,médical,parlement,demander,concertation,saisir,alinéa,délégué,tribunal,seul,demande,mettre,compétent,décision,candidature,obliger,possible,significatif,code,syndical,pouvoir,courrier,cas,refus,montrer,obligation,intervenir,convenir,falloir,convenir,principe,intervenir,obligation,supposer,nécessaire,obligation,loi,cas,concernant
